$3,2.05749e-02,1.19702e-02,3.49222e+00,1.70354e-01,2.05749e-02,1.19702e-02,3.49222e+00,1.70354e-01
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
$1,1.96741e-02,1.97857e-02,1.47109e-02,2.64601e+00,6.34570e+00,6.49548e+00,1.49645e-02,3.16253e+00
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
out,7.86965e-03,7.91427e-03,5.88435e-03,1.05840e+00,2.53828e+00,2.59819e+00,5.98581e-03,1.26501e+00
$2,3.03358e+00,3.03358e+00,3.85050e-02,3.85050e-02,2.41064e-02,2.41064e-02,8.53752e-03,8.53752e-03
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$4,6.33071e+00,6.33071e+00,1.24526e-01,1.24526e-01,6.33071e+00,6.33071e+00,1.24526e-01,1.24526e-01
