Step,custom/best_energy,wall_time_s
0,42.0,0.011322366772219539
80,6.0,2.340840076794848
160,4.0,3.8807546459138393
240,4.0,5.1119081559590995
320,4.0,6.225244862958789
400,4.0,7.286331651965156
480,4.0,8.26696823979728
560,4.0,9.364993509836495
640,4.0,10.27887341985479
720,4.0,11.165827426826581
800,4.0,12.11454287986271
880,4.0,13.471461221808568
960,4.0,14.515208653872833
1040,4.0,15.448968198848888
1120,4.0,16.596118338871747
1200,4.0,17.63965311087668
1280,4.0,18.50680822180584
1360,4.0,19.330515779787675
1440,4.0,20.201011375989765
1520,4.0,21.034908215980977
1600,4.0,21.92410736088641
1680,4.0,23.114813034888357
1760,4.0,23.98752914997749
1840,4.0,24.78782393084839
1920,4.0,25.722339160973206
2000,4.0,26.532979415962473
2080,4.0,27.246080371784046
2160,4.0,28.01689871889539
2240,4.0,28.768197697820142
2320,4.0,29.50463639688678
2400,4.0,30.37271328479983
2480,4.0,31.56379740894772
2560,4.0,32.528860463993624
2640,4.0,33.41526411077939
2720,4.0,34.2836198869627
2800,4.0,35.21513862279244
2880,4.0,35.93737001577392
2960,4.0,36.71685086400248
3040,4.0,37.50695127993822
3120,4.0,38.26253580581397
3200,4.0,39.00501115783118
3280,4.0,40.16084626480006
3360,4.0,41.52079207380302
3440,4.0,42.37675590487197
3520,4.0,43.17451369599439
3600,4.0,43.93318952480331
3680,4.0,44.689793781843036
3760,4.0,45.452303662896156
3840,4.0,46.148241930874065
3920,4.0,47.271316326921806
4000,4.0,48.5269231707789
4080,4.0,49.66490172082558
4160,4.0,50.59784493595362
4240,4.0,51.55329518090002
4320,4.0,52.53187214699574
4400,4.0,53.5712548578158
4480,4.0,54.6619123199489
4560,4.0,55.78582323878072
4640,4.0,56.899250470800325
4720,4.0,58.1867144908756
4800,4.0,59.48633983498439
4880,4.0,60.78015624079853
4960,4.0,61.6046189609915
5040,4.0,62.57073803595267
5120,4.0,64.19037132081576
5200,4.0,65.27533046598546
5280,4.0,66.31950620491989
5360,4.0,67.45837478991598
5440,4.0,68.29518383881077
5520,4.0,69.06519699492492
5600,4.0,69.9030330888927
5680,4.0,71.3336637369357
5760,4.0,72.28340659686364
5840,4.0,73.25868955883197
5920,4.0,74.53327853698283
6000,4.0,75.44542135880329
6080,4.0,76.35372609295882
6160,4.0,77.22998388577253
6240,4.0,78.08872443786822
6320,4.0,78.96008840878494
6400,4.0,79.88466414390132
6480,4.0,81.51137384586036
6560,4.0,82.45448101381771
6640,4.0,83.53447790094651
6720,4.0,84.37729704496451
6800,4.0,85.26778492587619
6880,4.0,86.13612176198512
6960,4.0,87.0022722647991
7040,4.0,87.79642495582812
7120,4.0,88.57743817381561
7200,4.0,89.48798631783575
7280,4.0,91.01207090890966
7360,4.0,92.43056433694437
7440,4.0,93.59231175878085
7520,4.0,94.68818217189983
7600,4.0,96.06674915598705
7680,4.0,97.15923433192074
7760,4.0,98.57624041498639
7840,4.0,99.64328551781364
7920,4.0,101.33746815286577
8000,4.0,102.13905173796229
8080,4.0,103.31818792386912
8160,4.0,104.24969703587703
8240,4.0,105.18967427080497
8320,4.0,106.13184880185872
8400,4.0,107.17798199388199
8480,4.0,108.14585148589686
8560,4.0,108.99048116686754
8640,4.0,109.80530844186433
8720,4.0,110.8859905519057
8800,4.0,111.79210066399537
8880,4.0,113.15737898880616
8960,4.0,114.09093633899465
9040,4.0,114.9091212588828
9120,4.0,115.722830950981
9200,4.0,116.69100772985257
9280,4.0,117.65364745887928
9360,4.0,118.37247718893923
9440,4.0,119.20981723396108
9520,4.0,119.95175370480865
9600,4.0,120.79136806190945
9680,4.0,122.23679189593531
9760,4.0,123.19963089982048
9840,4.0,124.0725677148439
9920,4.0,125.0175257998053
10000,4.0,126.15348529280163
10080,4.0,126.9897373188287
10160,4.0,128.1081042708829
10240,4.0,128.8631678109523
10320,4.0,129.527022004826
10400,4.0,130.2350406688638
10480,4.0,131.52655367180705
10560,4.0,132.5984576458577
10640,4.0,133.55387177481316
10720,4.0,134.4805465778336
10800,4.0,135.60471382085234
10880,4.0,136.3624903599266
10960,4.0,137.34219341399148
11040,4.0,138.29646388581023
11120,4.0,139.1937084828969
11200,4.0,140.45322919194587
11280,4.0,142.029631460784
11360,4.0,143.347141349921
11440,4.0,144.5600596498698
11520,4.0,145.7930636499077
11600,4.0,146.99705079989508
11680,4.0,148.4803443888668
11760,4.0,149.88089441484772
11840,4.0,151.08130028494634
11920,4.0,151.89150069491006
12000,4.0,152.80845411191694
12080,4.0,154.03226738190278
12160,4.0,154.84883470577188
12240,4.0,155.6432227359619
12320,4.0,156.82377113192342
12400,4.0,158.03894204297103
12480,4.0,159.63550055283122
12560,4.0,161.10269338381477
12640,4.0,161.93008589884266
12720,4.0,162.71361562795937
12800,4.0,163.9222386907786
12880,4.0,165.14393850881606
12960,4.0,166.04167885892093
13040,4.0,167.33113183896057
13120,4.0,168.46668859384954
13200,4.0,169.65002284478396
13280,4.0,170.681128827855
13360,4.0,171.7794083938934
13440,4.0,172.95792119996622
13520,4.0,174.00826337281615
13600,4.0,175.1798770558089
13680,4.0,176.54403628292494
13760,4.0,177.71478612790816
13840,4.0,179.01218725880608
13920,4.0,180.1876482439693
14000,4.0,181.07983482792042
14080,4.0,182.24670579377562
14160,4.0,183.2383535928093
14240,4.0,184.29610549798235
14320,4.0,185.11210027500056
14400,4.0,186.05481737083755
14480,4.0,187.6733777478803
14560,4.0,188.90973719698377
14640,4.0,190.49068918894045
14720,4.0,191.5357586289756
14800,4.0,192.74371582991444
14880,4.0,193.78873827378266
14960,4.0,194.8933436467778
15040,4.0,195.60622689593583
15120,4.0,196.62504394096322
15200,4.0,197.655488565797
15280,4.0,198.9502959959209
15360,4.0,199.93915011594072
15440,4.0,201.427082745824
15520,4.0,202.95941833080724
15600,4.0,205.10133874299936
15680,4.0,206.30266834585927
15760,4.0,207.2582405328285
15840,4.0,208.1115099149756
15920,4.0,209.04140667291358
16000,4.0,210.05419310485013
16080,4.0,211.6014896419365
16160,4.0,212.85117950383574
16240,4.0,214.17122347699478
16320,4.0,215.06663542194292
16400,4.0,216.06302869599313
16480,4.0,217.21047485480085
16560,4.0,218.0332687748596
16640,4.0,219.08781188097782
16720,4.0,219.9054170527961
16800,4.0,220.88555829692632
16880,4.0,222.21054554497823
16960,4.0,223.47769656777382
17040,4.0,224.70049533783458
17120,4.0,225.9873756179586
17200,4.0,226.7956078290008
17280,4.0,227.60046207578853
17360,4.0,228.5894965468906
17440,4.0,229.32970631192438
17520,4.0,230.5000798809342
17600,4.0,231.26308952877298
17680,4.0,232.7711635979358
17760,4.0,233.9768757747952
17840,4.0,235.1037243269384
17920,4.0,236.23745422181673
18000,4.0,237.4155137988273
18080,4.0,238.63550290977582
18160,4.0,239.79858660884202
18240,4.0,240.57204878190532
18320,4.0,241.99495541187935
18400,4.0,242.96490514278412
18480,4.0,244.5631737569347
18560,4.0,245.6771960228216
18640,4.0,246.47884094784968
18720,4.0,247.61711445380934
18800,4.0,248.6201925468631
18880,4.0,249.8491221878212
18960,4.0,250.92683023680001
19040,4.0,251.88515773694962
19120,4.0,252.9000710719265
19200,4.0,254.0109881768003
19280,4.0,255.4357539168559
19360,4.0,256.7654732798692
19440,4.0,258.00989829492755
19520,4.0,258.815146723995
19600,4.0,259.604792738799
19680,4.0,260.98271391983144
19760,4.0,261.95577468094416
19840,4.0,262.9190844059922
19920,4.0,263.8938635638915
20000,4.0,264.66868381085806
20080,4.0,265.8489040348213
20160,4.0,266.75221994589083
20240,4.0,267.5867311519105
20320,4.0,268.6884663028177
20400,4.0,269.5103820548393
20480,4.0,270.7253285769839
20560,4.0,271.82498026289977
20640,4.0,272.68094003084116
20720,4.0,273.5819972308818
20800,4.0,274.4835156239569
20880,4.0,275.9479540907778
20960,4.0,277.56717451591976
21040,4.0,278.7727216947824
21120,4.0,280.0190724248532
21200,4.0,281.9293069888372
21280,4.0,283.46377177280374
21360,4.0,284.93052646284923
21440,4.0,285.70270330877975
21520,4.0,286.4506564468611
21600,4.0,287.24482917180285
21680,4.0,288.554193287855
21760,4.0,289.8563053139951
21840,4.0,291.12830614997074
21920,4.0,292.08865060983226
22000,4.0,293.04984396579675
22080,4.0,293.9906400628388
22160,4.0,295.2034560299944
22240,4.0,296.3975688999053
22320,4.0,297.38373572495766
22400,4.0,298.36488523799926
22480,4.0,299.9433106328361
22560,4.0,301.2819778488483
22640,4.0,302.46670050895773
22720,4.0,304.34700440499
22800,4.0,305.1987413279712
22880,4.0,306.11940363491885
22960,4.0,307.0525538129732
23040,4.0,308.11449307994917
23120,4.0,309.17394225881435
23200,4.0,310.28498990181834
23280,4.0,311.77435558778234
23360,4.0,312.70365700288676
23440,4.0,313.5252113288734
23520,4.0,314.7035161189269
23600,4.0,316.5572876529768
23680,4.0,317.4243886668701
23760,4.0,318.26819330989383
23840,4.0,319.07060438091867
23920,4.0,319.91827527293935
24000,4.0,320.7916923419107
24080,4.0,322.3944231257774
24160,4.0,323.7604904298205
24240,4.0,325.04897385882214
24320,4.0,326.5160511469003
24400,4.0,328.01550710597076
24480,4.0,329.3142748279497
24560,4.0,330.6260003868956
24640,4.0,331.75178132392466
24720,4.0,333.1226710069459
24800,4.0,334.25477678794414
24880,4.0,335.61597868287936
24960,4.0,336.83924566186033
25040,4.0,338.06476097297855
25120,4.0,339.15135435480624
25200,4.0,340.17497667088173
25280,4.0,341.1456144929398
25360,4.0,342.2611271517817
25440,4.0,343.45556695596315
25520,4.0,344.6167594487779
25600,4.0,345.9189015799202
25680,4.0,347.74543650099076
25760,4.0,349.3463957027998
25840,4.0,350.88617846090347
25920,4.0,352.418527391972
26000,4.0,353.9299428667873
26080,4.0,355.4757869518362
26160,4.0,357.00371373677626
26240,4.0,358.4932774459012
26320,4.0,359.9901448809542
26400,4.0,361.5664530817885
26480,4.0,362.8687805538066
26560,4.0,364.06342075695284
26640,4.0,365.1933262317907
26720,4.0,366.1323183889035
26800,4.0,367.06581915798597
26880,4.0,368.1012414128054
26960,4.0,369.1663862699643
27040,4.0,370.0850027499255
27120,4.0,371.04528238391504
27200,4.0,371.8657641748432
27280,4.0,373.366424939828
27360,4.0,374.66141597391106
27440,4.0,375.6871496788226
27520,4.0,376.5226762339007
27600,4.0,377.49654503678903
27680,4.0,378.32618426391855
27760,4.0,379.44694335595705
27840,4.0,380.22318138182163
27920,4.0,381.0201520489063
28000,4.0,381.8257173539605
28080,4.0,383.60464910278097
28160,4.0,385.123988466803
28240,4.0,386.6137120758649
28320,4.0,387.9093931848183
28400,4.0,388.9021518519148
28480,4.0,389.8788089649752
28560,4.0,390.7797467408236
28640,4.0,391.706674430985
28720,4.0,392.45810915599577
28800,4.0,393.28257144079544
28880,4.0,394.84204418282025
28960,4.0,396.4129928839393
29040,4.0,398.6781345328782
29120,4.0,400.12351113185287
29200,4.0,401.4453551368788
29280,4.0,402.5732741889078
29360,4.0,404.0353064038791
29440,4.0,405.53966919891536
29520,4.0,406.68507411377504
29600,4.0,408.2281315459404
29680,4.0,409.6404928609263
