hash,energy,size
8c8d88bd0ac66414bc53b587c20f54fe,30.0,37
772f264fa4bd2055034b05c6fe3659e3,34.0,41
689d2fa8e7e581d032ef02bd100b4567,34.0,41
cfa7d8587808dda1dfd2e4822d46355c,33.0,40
4649e35863449e579c1a941f88d2df53,11.0,16
0bb6a531ed7ea1c06fb16982343c9d14,7.0,14
f8af085087b7e4d209bbeac4dcbddc81,7.0,14
d7d4049dac37648f470eb41f7acdf326,11.0,18
057c4d74784cb037466b1d2db29ce684,11.0,16
3e091938daafc87e832bfe3f26700bb5,26.0,33
db7a923015be7375b63e6ea8c61f4d8e,23.0,30
cba6ecb4ce7ac237ed9130870b9366ca,6.0,11
65f159c57b4ca1853003475a4c9de7c5,23.0,30
11dbff95269889d1d93b5a3b5cd9fb1a,9.0,14
0b8d65c20a70d00cc066bf10cc82efa4,11.0,16
33cc033be6fd5facd1ac476e96e3fa0b,30.0,37
6d2e75c829d9c3aecd2314d4707e730e,23.0,30
67248f4046e8aca30343d85cd76943d6,33.0,40
7f320d7e2288be4c303955d42ab65379,11.0,16
3357ea8a2f0741d55e78904880ac3f18,30.0,37
79f25f01dc8ed52e081c6b7557588dc3,23.0,30
86600bab370a583da837f7d6196e6e7e,11.0,16
ee5c4d95170993c03c54d117a7f33909,26.0,33
6501c08778ec44a14acdd57251e51942,23.0,30
58bfd5ca4de4b8516a5d9db1c5711ac1,33.0,40
b39547d4439551580f5193df015714d1,34.0,41
a0891b49219d74d14fbe70510a60d2a5,34.0,41
9881ad0d68c9f1f066bc32103f3adf83,34.0,41
09fee6c639805ffe765cdf15aa9be773,28.0,35
e1805280fd3d9a20af9818fb582eb9bb,34.0,41
3cf2df22502f546a54c46b31dad6e0a8,32.0,39
da2544dc72d6fabaee733f95d190943b,9.0,14
6fc73f59ad1cfb6d298137cd897c1e40,13.0,20
2d46f54020a34efdf20ea37862da4b12,6.0,11
15ff8578f1db16adcee3058219c5e1da,23.0,30
7b90b9a5cec1643ece253887416ae4c8,23.0,30
e906c83781b5efa5e7ae154dcd068a0b,34.0,41
ae1edc8aa032e8626defdb2e6ec7f8b6,6.0,11
c30debd36d1d0affddeae545beb7f141,11.0,16
e805882a71452838630ae9642155bb21,23.0,30
698f415152803aee71f1ba40ed2aae51,34.0,41
3bbd7e6c6a075990081a02321042de10,11.0,16
59f86aa9655c639246ead5aa10a48925,23.0,30
0088b984b037595c274abc91da05122c,10.0,15
