in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$2,2.05465e-02,2.05465e-02,4.95251e-02,4.95251e-02,3.55720e+00,3.55720e+00,5.17252e-02,5.17252e-02
$3,6.31155e+00,6.31155e+00,1.24420e-01,1.24420e-01,8.41443e-02,8.41443e-02,3.52955e-02,3.52955e-02
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
out,1.00497e-02,9.27120e-03,1.72724e+00,3.59589e-02,3.54921e+00,1.43966e+00,2.59629e+00,3.82764e-02
$1,4.57761e-03,2.63146e-03,4.26858e+00,4.03721e-02,5.31582e+00,4.19396e-02,6.43901e+00,4.39658e-02
