design_name,parts,
m0x3A0,pPhlF,YFP_cassette,pTac,pPsrA,RiboJ53,P3,PhlF,ECK120033737,pQacR,YFP_cassette,pBAD,pPsrA,RiboJ60,Q2,QacR,ECK120010818,pBAD,pTet,ScmJ,R1,PsrA,ECK120015440,_NONCE_PAD
m0x3A1,pPhlF,YFP_cassette,pTac,pPsrA,RiboJ53,P3,PhlF,ECK120033737,pBAD,pPsrA,RiboJ60,Q2,QacR,ECK120010818,pQacR,YFP_cassette,pBAD,pTet,ScmJ,R1,PsrA,ECK120015440,_NONCE_PAD
m0x3A2,pPhlF,YFP_cassette,pQacR,YFP_cassette,pTac,pPsrA,RiboJ53,P3,PhlF,ECK120033737,pBAD,pPsrA,RiboJ60,Q2,QacR,ECK120010818,pBAD,pTet,ScmJ,R1,PsrA,ECK120015440,_NONCE_PAD
m0x3A3,pPhlF,YFP_cassette,pTac,pPsrA,RiboJ53,P3,PhlF,ECK120033737,pBAD,pPsrA,RiboJ60,Q2,QacR,ECK120010818,pBAD,pTet,ScmJ,R1,PsrA,ECK120015440,_NONCE_PAD,pQacR,YFP_cassette
m0x3A4,pPhlF,YFP_cassette,pTac,pPsrA,RiboJ53,P3,PhlF,ECK120033737,pBAD,pPsrA,RiboJ60,Q2,QacR,ECK120010818,pBAD,pTet,ScmJ,R1,PsrA,ECK120015440,pQacR,YFP_cassette,_NONCE_PAD
