out,1.89310e-02,1.57737e+00,1.36336e-02,1.57207e+00,1.51759e+00,3.07603e+00,2.38364e-02,1.58228e+00
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
$1,1.95275e-02,1.95275e-02,6.28390e-03,6.28390e-03,3.76616e+00,3.76616e+00,3.17911e-02,3.17911e-02
in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
$2,6.50311e+00,6.50311e+00,6.50311e+00,6.50311e+00,2.25930e-02,2.25930e-02,2.25930e-02,2.25930e-02
