$1,2.20396e-02,1.15095e-01,2.22095e-02,1.17269e-01,2.26844e-02,1.23541e-01,2.95813e-02,2.58831e-01
$3,2.06642e+00,2.06642e+00,2.04394e+00,2.04394e+00,1.98249e+00,1.98249e+00,1.26837e+00,1.26837e+00
$4,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
$6,3.77790e+00,3.77790e+00,3.77790e+00,3.77790e+00,3.20705e-02,3.20705e-02,3.20705e-02,3.20705e-02
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$5,4.86059e-03,4.86059e-03,9.99600e-03,9.99600e-03,2.50719e-02,2.50719e-02,6.51405e-01,6.51405e-01
$7,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02
out,8.81586e-03,4.60381e-02,8.88381e-03,4.69075e-02,9.07376e-03,4.94164e-02,1.18325e-02,1.03532e-01
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
$2,3.27235e+00,6.39498e-02,3.27235e+00,6.39498e-02,3.27235e+00,6.39498e-02,3.27235e+00,6.39498e-02
