$1,1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96,1.00,0.96
$9,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92
$2,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95,0.94,0.95
$4,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
$5,0.90,0.90,0.93,0.93,0.90,0.90,0.93,0.93,0.91,0.91,0.90,0.90,0.91,0.91,0.90,0.90
$6,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.93,0.93,0.92,0.92,0.92,0.92,0.92,0.92
$8,0.99,0.99,0.95,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.95,0.99,0.99,0.99,0.99
$7,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$3,0.94,0.97,0.95,0.96,0.94,0.97,0.95,0.96,0.94,0.97,0.94,0.97,0.94,0.97,0.94,0.97
$11,1.00,1.00,0.90,0.90,1.00,1.00,0.90,0.90,1.00,1.00,0.90,0.90,1.00,1.00,0.90,0.90
$10,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95
