out,7.10959e-01,7.10959e-01,4.46530e-01,4.46530e-01,4.37186e-01,4.37186e-01,6.39773e-01,6.39773e-01
$7,4.80410e+00,4.80410e+00,4.80410e+00,4.80410e+00,9.50301e-02,9.50301e-02,9.50301e-02,9.50301e-02
$2,7.03001e-01,7.03001e-01,1.85520e-02,1.85520e-02,3.70842e-03,3.70842e-03,2.06045e-03,2.06045e-03
$3,3.77765e+00,3.77765e+00,1.90806e-01,1.90806e-01,3.77765e+00,3.77765e+00,1.90806e-01,1.90806e-01
$5,2.00144e-02,2.00144e-02,2.00144e-02,2.00144e-02,1.68805e+00,1.68805e+00,1.68805e+00,1.68805e+00
in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
$4,3.04996e+00,3.04996e+00,3.04996e+00,3.04996e+00,1.72874e-01,1.72874e-01,1.72874e-01,1.72874e-01
$6,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$1,1.07440e+00,1.07440e+00,1.09777e+00,1.09777e+00,1.08926e+00,1.08926e+00,1.59737e+00,1.59737e+00
