design_name,parts,
m0x220,pTac,pBetI,RiboJ53,P2,PhlF,ECK120033737,pPhlF,YFP_cassette,pTet,RiboJ57,E1,BetI,L3S3P11,_NONCE_PAD
m0x221,pPhlF,YFP_cassette,pTac,pBetI,RiboJ53,P2,PhlF,ECK120033737,pTet,RiboJ57,E1,BetI,L3S3P11,_NONCE_PAD
m0x222,pTac,pBetI,RiboJ53,P2,PhlF,ECK120033737,pTet,RiboJ57,E1,BetI,L3S3P11,_NONCE_PAD,pPhlF,YFP_cassette
m0x223,pTac,pBetI,RiboJ53,P2,PhlF,ECK120033737,pTet,RiboJ57,E1,BetI,L3S3P11,pPhlF,YFP_cassette,_NONCE_PAD
