$1,1.85080e-01,1.02112e+00,4.91403e+00,4.94195e+00,2.20969e-01,4.30717e+00,6.64524e-02,2.79611e-01
$3,3.23210e-01,3.23210e-01,9.40625e-02,9.40625e-02,1.01124e-01,1.01124e-01,6.23219e-01,6.23219e-01
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
$4,1.83176e-01,1.83176e-01,6.20968e+00,6.20968e+00,8.42373e-02,8.42373e-02,8.46314e-02,8.46314e-02
$6,3.03358e+00,3.03358e+00,3.85050e-02,3.85050e-02,2.41064e-02,2.41064e-02,8.53752e-03,8.53752e-03
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$5,3.65914e-02,3.65914e-02,2.59539e-02,2.59539e-02,2.41275e+00,2.41275e+00,2.62180e-02,2.62180e-02
out,7.40318e-02,4.08449e-01,1.96561e+00,1.97678e+00,8.83877e-02,1.72287e+00,2.65810e-02,1.11844e-01
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
$2,4.52270e-01,1.59893e-02,2.58186e-03,1.57733e-03,6.13464e-01,1.73166e-02,6.12842e-01,1.73110e-02
