design_name,parts,
m0x540,pQacR,YFP_cassette,pTet,pAmtR,RiboJ53,P3,PhlF,ECK120033737,pPhlF,YFP_cassette,pBAD,pAmtR,RiboJ60,Q2,QacR,ECK120010818,pTac,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x541,pQacR,YFP_cassette,pTet,pAmtR,RiboJ53,P3,PhlF,ECK120033737,pBAD,pAmtR,RiboJ60,Q2,QacR,ECK120010818,pTac,BydvJ,A1,AmtR,L3S2P55,pPhlF,YFP_cassette,_NONCE_PAD
m0x542,pQacR,YFP_cassette,pPhlF,YFP_cassette,pTet,pAmtR,RiboJ53,P3,PhlF,ECK120033737,pBAD,pAmtR,RiboJ60,Q2,QacR,ECK120010818,pTac,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x543,pQacR,YFP_cassette,pTet,pAmtR,RiboJ53,P3,PhlF,ECK120033737,pBAD,pAmtR,RiboJ60,Q2,QacR,ECK120010818,pPhlF,YFP_cassette,pTac,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x544,pQacR,YFP_cassette,pTet,pAmtR,RiboJ53,P3,PhlF,ECK120033737,pBAD,pAmtR,RiboJ60,Q2,QacR,ECK120010818,pTac,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD,pPhlF,YFP_cassette
