idx,key,ML_energy,best_bank_energy,delta
0,"(3, 43)",5,5,0
1,"(3, 43)",5,5,0
2,"(3, 43)",5,5,0
3,"(3, 43)",5,5,0
4,"(3, 43)",5,5,0
5,"(3, 43)",5,5,0
