design_name,parts,
m0x090,pPhlF,YFP_cassette,pAmtR,pBetI,RiboJ53,P1,PhlF,ECK120033737,pTac,pTet,RiboJ10,S4,SrpR,ECK120029600,pTet,SarJ,B1,BM3R1,L3S2P11,pSrpR,pLitR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pPsrA,PlmJ,L1,LitR,L3S2P24,pTac,ScmJ,R1,PsrA,ECK120015440,pBAD,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x091,pAmtR,pBetI,RiboJ53,P1,PhlF,ECK120033737,pTac,pTet,RiboJ10,S4,SrpR,ECK120029600,pTet,SarJ,B1,BM3R1,L3S2P11,pSrpR,pLitR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pPsrA,PlmJ,L1,LitR,L3S2P24,pTac,ScmJ,R1,PsrA,ECK120015440,pPhlF,YFP_cassette,pBAD,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x092,pAmtR,pBetI,RiboJ53,P1,PhlF,ECK120033737,pTac,pTet,RiboJ10,S4,SrpR,ECK120029600,pTet,SarJ,B1,BM3R1,L3S2P11,pSrpR,pLitR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pPsrA,PlmJ,L1,LitR,L3S2P24,pTac,ScmJ,R1,PsrA,ECK120015440,pBAD,BydvJ,A1,AmtR,L3S2P55,pPhlF,YFP_cassette,_NONCE_PAD
m0x093,pAmtR,pBetI,RiboJ53,P1,PhlF,ECK120033737,pPhlF,YFP_cassette,pTac,pTet,RiboJ10,S4,SrpR,ECK120029600,pTet,SarJ,B1,BM3R1,L3S2P11,pSrpR,pLitR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pPsrA,PlmJ,L1,LitR,L3S2P24,pTac,ScmJ,R1,PsrA,ECK120015440,pBAD,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x094,pAmtR,pBetI,RiboJ53,P1,PhlF,ECK120033737,pTac,pTet,RiboJ10,S4,SrpR,ECK120029600,pTet,SarJ,B1,BM3R1,L3S2P11,pSrpR,pLitR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pPsrA,PlmJ,L1,LitR,L3S2P24,pPhlF,YFP_cassette,pTac,ScmJ,R1,PsrA,ECK120015440,pBAD,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
