custom/best_energy,env3/episode_return_disc,env70/episode_return,env18/episode_return,env9/episode_return,env71/episode_return,env50/episode_return,env78/episode_return,env17/episode_return,env58/episode_return_disc,env6/episode_return_disc,env37/episode_return_disc,env77/episode_return,env16/episode_return,env44/episode_return,env5/episode_return,env56/episode_return,env52/episode_return,env10/episode_return,env30/episode_return,env52/episode_return_disc,env40/episode_return,env35/episode_return,env39/episode_return,env41/episode_return,env36/episode_return_disc,env46/episode_return,env78/episode_return_disc,env70/episode_return_disc,env67/episode_return,env38/episode_return_disc,env60/episode_return,env63/episode_return_disc,env68/episode_return_disc,env54/episode_return,env21/episode_return_disc,env31/episode_return,env69/episode_return,env36/episode_return,env8/episode_return_disc,env37/episode_return,env15/episode_return_disc,env34/episode_return,env22/episode_return_disc,env44/episode_return_disc,env20/episode_return_disc,env79/episode_return,env26/episode_return_disc,env13/episode_return,env42/episode_return_disc,env19/episode_return,env64/episode_return_disc,env7/episode_return_disc,env62/episode_return_disc,env25/episode_return,env60/episode_return_disc,env72/episode_return_disc,env1/episode_return_disc,env25/episode_return_disc,env32/episode_return_disc,env39/episode_return_disc,env65/episode_return,env56/episode_return_disc,env69/episode_return_disc,env31/episode_return_disc,env76/episode_return,env24/episode_return,env18/episode_return_disc,env26/episode_return,env12/episode_return_disc,env29/episode_return,env40/episode_return_disc,env28/episode_return,env68/episode_return,env6/episode_return,env49/episode_return,env51/episode_return,env48/episode_return_disc,env76/episode_return_disc,env16/episode_return_disc,env73/episode_return,env73/episode_return_disc,env4/episode_return_disc,env2/episode_return_disc,env59/episode_return_disc,env10/episode_return_disc,env75/episode_return_disc,env66/episode_return,env58/episode_return,env67/episode_return_disc,env64/episode_return,env57/episode_return_disc,env5/episode_return_disc,env42/episode_return,env15/episode_return,env4/episode_return,env47/episode_return_disc,env1/episode_return,env48/episode_return,env54/episode_return_disc,env0/episode_return_disc,env50/episode_return_disc,env53/episode_return,env11/episode_return_disc,env11/episode_return,env33/episode_return_disc,env14/episode_return_disc,env3/episode_return,env33/episode_return,env43/episode_return,env71/episode_return_disc,env74/episode_return,env9/episode_return_disc,env0/episode_return,env43/episode_return_disc,env55/episode_return,env57/episode_return,env34/episode_return_disc,env55/episode_return_disc,env13/episode_return_disc,env30/episode_return_disc,env8/episode_return,env24/episode_return_disc,env22/episode_return,env29/episode_return_disc,env62/episode_return,env46/episode_return_disc,env41/episode_return_disc,env61/episode_return,env51/episode_return_disc,env32/episode_return,env27/episode_return_disc,env21/episode_return,env47/episode_return,env72/episode_return,env53/episode_return_disc,env27/episode_return,env79/episode_return_disc,env2/episode_return,env19/episode_return_disc,env28/episode_return_disc,env45/episode_return_disc,env20/episode_return,env23/episode_return,env49/episode_return_disc,env63/episode_return,env12/episode_return,env77/episode_return_disc,env45/episode_return,env61/episode_return_disc,env74/episode_return_disc,env35/episode_return_disc,env59/episode_return,env14/episode_return,env38/episode_return,env17/episode_return_disc,env23/episode_return_disc,env65/episode_return_disc,env75/episode_return,env66/episode_return_disc,env7/episode_return,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/value_loss,train/explained_variance,train/learning_rate,train/approx_kl,train/clip_fraction,train/policy_gradient_loss,train/loss,train/clip_range,train/entropy_loss,train/n_updates
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.8063223361968994,12.5,6.25,2.6315789222717285,20.0,5.55555534362793,6.666666507720947,5.882352828979492,6.090115547180176,5.373631477355957,18.270347595214844,5.882352828979492,5.55555534362793,3.7037036418914795,20.0,5.882352828979492,20.0,6.666666507720947,5.0,18.270347595214844,10.0,7.142857074737549,10.0,7.692307472229004,5.709483623504639,12.5,6.090115547180176,11.418967247009277,10.0,18.270347595214844,10.0,8.304702758789062,6.090115547180176,5.0,5.709483623504639,6.666666507720947,10.0,6.25,5.373631477355957,20.0,5.709483623504639,12.5,5.373631477355957,3.3833975791931152,4.807986259460449,7.692307472229004,7.027056694030762,6.666666507720947,5.075096607208252,5.882352828979492,13.050248146057129,6.090115547180176,4.807986259460449,5.55555534362793,9.135173797607422,13.050248146057129,13.050248146057129,5.075096607208252,3.9718146324157715,9.135173797607422,5.882352828979492,5.373631477355957,9.135173797607422,6.090115547180176,16.66666603088379,6.666666507720947,5.709483623504639,7.692307472229004,5.075096607208252,6.25,9.135173797607422,6.666666507720947,6.666666507720947,5.882352828979492,5.263157844543457,5.263157844543457,2.8547418117523193,15.225289344787598,5.075096607208252,3.3333332538604736,3.045057773590088,6.090115547180176,5.373631477355957,7.027056694030762,6.090115547180176,6.090115547180176,3.846153736114502,6.666666507720947,9.135173797607422,14.285714149475098,5.709483623504639,18.270347595214844,5.55555534362793,6.25,6.666666507720947,11.418967247009277,14.285714149475098,3.125,4.567586898803711,5.709483623504639,5.075096607208252,5.882352828979492,4.567586898803711,5.0,11.418967247009277,18.270347595214844,4.166666507720947,12.5,4.761904716491699,18.270347595214844,6.25,2.4039931297302246,6.25,4.350082874298096,12.5,6.25,11.418967247009277,11.418967247009277,6.090115547180176,4.567586898803711,5.882352828979492,6.090115547180176,5.882352828979492,5.709483623504639,5.263157844543457,11.418967247009277,7.027056694030762,7.692307472229004,4.807986259460449,4.34782600402832,7.612644672393799,6.25,12.5,14.285714149475098,5.373631477355957,8.333333015441895,7.027056694030762,5.882352828979492,5.373631477355957,6.090115547180176,7.027056694030762,5.263157844543457,5.882352828979492,4.807986259460449,9.090909004211426,5.55555534362793,5.373631477355957,7.692307472229004,7.027056694030762,5.709483623504639,6.5251240730285645,7.692307472229004,20.0,20.0,5.373631477355957,5.373631477355957,5.373631477355957,6.666666507720947,3.513528347015381,6.666666507720947,10.0,7.462246230000001,1600,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,8.361019849999998,10.0,1,5,288,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.726742839813232,0.008216381072998047,0.0003,0.010940491,0.04062500069849193,-0.029758664879818753,5.811620235443115,0.2,-6.454235088825226,4
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
