in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
$2,2.07108e-02,2.07108e-02,3.10480e-02,3.10480e-02,3.50072e+00,3.50072e+00,3.16355e-02,3.16355e-02
$3,6.31155e+00,6.31155e+00,8.41443e-02,8.41443e-02,1.24420e-01,1.24420e-01,3.52955e-02,3.52955e-02
in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
out,8.98298e-03,8.66154e-03,2.06960e+00,2.06661e-02,3.01280e+00,1.40819e+00,2.50562e+00,2.13471e-02
$1,1.74661e-03,9.43006e-04,5.14294e+00,2.06172e-02,4.03128e+00,1.97589e-02,6.23241e+00,2.17322e-02
