design_name,parts,
m0x820,pBetI,YFP_cassette,pBAD,pTet,SarJ,B3,BM3R1,L3S2P11,pTac,pAmeR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pAmtR,RiboJ54,F1,AmeR,L3S3P31,pTet,RiboJ60,Q2,QacR,ECK120010818,pBAD,ScmJ,R1,PsrA,ECK120015440,pQacR,pPsrA,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x821,pBAD,pTet,SarJ,B3,BM3R1,L3S2P11,pTac,pAmeR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pAmtR,RiboJ54,F1,AmeR,L3S3P31,pTet,RiboJ60,Q2,QacR,ECK120010818,pBAD,ScmJ,R1,PsrA,ECK120015440,pBetI,YFP_cassette,pQacR,pPsrA,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x822,pBAD,pTet,SarJ,B3,BM3R1,L3S2P11,pTac,pAmeR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pAmtR,RiboJ54,F1,AmeR,L3S3P31,pTet,RiboJ60,Q2,QacR,ECK120010818,pBAD,ScmJ,R1,PsrA,ECK120015440,pQacR,pPsrA,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD,pBetI,YFP_cassette
m0x823,pBAD,pTet,SarJ,B3,BM3R1,L3S2P11,pBetI,YFP_cassette,pTac,pAmeR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pAmtR,RiboJ54,F1,AmeR,L3S3P31,pTet,RiboJ60,Q2,QacR,ECK120010818,pBAD,ScmJ,R1,PsrA,ECK120015440,pQacR,pPsrA,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x824,pBAD,pTet,SarJ,B3,BM3R1,L3S2P11,pTac,pAmeR,RiboJ57,E1,BetI,L3S3P11,pBM3R1,pAmtR,RiboJ54,F1,AmeR,L3S3P31,pBetI,YFP_cassette,pTet,RiboJ60,Q2,QacR,ECK120010818,pBAD,ScmJ,R1,PsrA,ECK120015440,pQacR,pPsrA,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
