$2,4.81346e+00,4.81346e+00,4.53357e+00,4.53357e+00,3.41738e+00,3.41738e+00,1.53489e-01,1.53489e-01
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
$4,6.48574e+00,6.48574e+00,6.48574e+00,6.48574e+00,8.48487e-02,8.48487e-02,8.48487e-02,8.48487e-02
in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
$3,2.12853e-03,2.12853e-03,4.15673e-03,4.15673e-03,1.26841e-02,1.26841e-02,6.15954e-01,6.15954e-01
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$1,3.16519e-03,8.45161e-04,3.61598e-03,9.09004e-04,6.77126e-03,1.24753e-03,2.80099e+00,4.64653e-03
out,1.26608e-03,3.38065e-04,1.44639e-03,3.63602e-04,2.70850e-03,4.99010e-04,1.12040e+00,1.85861e-03
$5,3.27235e+00,3.27235e+00,6.39498e-02,6.39498e-02,3.27235e+00,3.27235e+00,6.39498e-02,6.39498e-02
