run_id,seed,initial_id,MAXTEMP,MINTEMP,steps,T0_steps,optimized_score,optimal_toxicity,timestamp
1,3078576384,0,1,0.001,980,20,557.1008594046049,0.7811969541748546,2025-10-19T21:20:56
2,3078576384,0,10,0.001,980,20,654.4751851130305,0.7879270842573761,2025-10-19T21:20:56
3,3078576384,0,100,0.001,980,20,557.1008594046049,0.7811969541748546,2025-10-19T21:20:56
4,312733163,0,1,0.001,980,20,557.1008594046049,0.7811969541748546,2025-10-19T21:20:56
5,312733163,0,10,0.001,980,20,292.63607379590684,0.7897376238494659,2025-10-19T21:20:56
6,312733163,0,100,0.001,980,20,321.4859090200662,0.7661789445750022,2025-10-19T21:20:56
7,299843499,0,1,0.001,980,20,205.8461823101004,0.7850276728032979,2025-10-19T21:20:56
8,299843499,0,10,0.001,980,20,295.345470170519,0.7517379479236108,2025-10-19T21:20:56
9,299843499,0,100,0.001,980,20,654.4751851130305,0.7879270842573761,2025-10-19T21:20:56
