in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
$3,7.48475e-02,7.48475e-02,1.20049e-02,1.20049e-02,3.69698e+00,3.69698e+00,3.12889e-02,3.12889e-02
$1,2.07464e-03,6.62234e-04,1.65338e-03,5.76304e-04,3.16184e+00,4.69077e-03,1.73917e-03,5.94717e-04
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
out,8.29854e-04,2.64894e-04,6.61352e-04,2.30522e-04,1.26474e+00,1.87631e-03,6.95669e-04,2.37887e-04
$2,5.82013e+00,5.82013e+00,6.44478e+00,6.44478e+00,1.36238e-01,1.36238e-01,6.30002e+00,6.30002e+00
$4,3.27235e+00,3.27235e+00,3.27235e+00,3.27235e+00,6.39498e-02,6.39498e-02,6.39498e-02,6.39498e-02
