hash,energy,size
23cb80d2930040e7b4526427f3b6d9dd,15.0,23
cc2d9759a82264d707d6770224c32c30,42.0,49
e06655c69cde20940236d9865ed323e4,30.0,37
0311932946129ec0859bba4a898f76ba,25.0,32
9580a4ac40545f53b56fab60047b72e0,13.0,18
76f963befa9bce782996181c0b579520,11.0,16
6fc73f59ad1cfb6d298137cd897c1e40,13.0,20
e0de53abb2a077e74d87dbf1094aa106,15.0,20
27ebcfcbb8e2cb0885391e906217bc7c,10.0,17
bb4c00563eb88425465188d599e16b83,29.0,36
96283f0d6e46c3c7770b5c8902a5e326,28.0,35
ee36966867e089f97d683c10361280cf,19.0,26
f7824dc4033f1ebfcdeff18efd30fcc9,14.0,22
0e2123fe135888297e88f71bb383025d,27.0,34
0ab7621ff41a3baf12da80aff5624548,10.0,15
337d18adafc9a486a4a0dc0b19db1c9b,25.0,32
164118d2adddb13d01b8ee8ec0e57f12,9.0,16
8114f7687deb9ff491c41202133a6120,15.0,22
cc1b5700bed8649bd0fbc675bfc770fe,22.0,29
812a605fd8fd2d2611822579a55bc53b,13.0,22
8e9d80cbd558a318435e67cb0be2db35,11.0,16
43c9fd0d096fbbd1504c2bdb5fb82bbb,41.0,48
d459015da0b85703b0bca21375a965af,10.0,17
c66a6c7c19e0fa2059ead861c1bc1439,32.0,39
fd6c69fb289e3492afb6c99193acac02,9.0,14
29f9a4eebb469474fd42913082baafe1,15.0,20
1058968aa610ae8b5a6500cd5564536b,30.0,37
c880d9169e16a7e7d6c9c7dbef9ab98a,25.0,32
fdeb84b358c8f0e8a444bc2629d5c89d,40.0,47
9d6bf85f1b695681393187db2a29d927,12.0,17
1d7115ab6df244fcc1b90887ff91312d,44.0,51
b54334a9883b4aaee8a55b9ad5f9d4cc,9.0,14
5d1c0ca9e485d9ff3e2462cfcee82a4e,10.0,18
dfc31b7fa1d8f5e36b9d87bc4d8515ef,8.0,13
696f4413abfeed82a342b1300c1da841,13.0,18
c5becf8fb42ca20096992d7113652995,13.0,18
a19f75b3bf2c3552933ed150a232022a,10.0,15
019e875ed4b6af1c447148b088159d0a,8.0,13
daeb7577af30fd9e8def6ac46cf93174,12.0,17
b9a2ff30c9c266e04345e29d01158d86,8.0,15
44632e26c7c438d9a577212a013c8dd8,25.0,32
d079c708328f3f2a17a76ada66d8ffff,10.0,18
a5ead1f0d0cc8b3ed3f0bfe480430802,14.0,19
9ea0bbf2537c70adbcb5aff26380613c,29.0,36
1eb7ee7c27dec7a95868afea18cec205,5.0,12
6df93c3338d1f88c3093f635824b3829,7.0,12
3d62f9a52205171b4647491da0f1280f,14.0,19
289c1ac8afe3603f5c37562a177b3ed3,29.0,36
4eb876029385d33d2cf2109814813e76,9.0,16
2ee619b11479523339cb49bb4d4f1e56,40.0,47
cad95ba09c52dd7a39c38365556f9ba9,10.0,15
24f36746eed58e35f7e8415c643c4990,39.0,46
9e25cbf48f2d7b5288b2107f6bff67d9,30.0,37
94459874644e003cdb04a6fe551f18eb,39.0,46
fa6acfdbab94d5f6d1841d85cf464016,40.0,47
6c88458b4c57dbf1e4c7e97ab02f4e7b,20.0,27
99c3ff308f124ed48418a2cc36030941,9.0,14
691192f1a2cff90fc0dcace012ee5bb9,40.0,47
02dfdb1be7f126233c619cfa03b6f552,14.0,19
5418d8795f4c79f817fa976a5aa6d6df,8.0,13
718ec5cac8a2f62868298a2cfd680f28,37.0,44
2ab3612b19cdd1efad6ed38edef7660e,25.0,32
86668b4047ed5ecd07eecfb2e88ad48b,42.0,49
aca3ffee0c6aabb2cf5a45e199619261,20.0,27
2d23bc842853e867b3082b44a6c69c0d,18.0,23
0e391250a948306de05e1f1da82f3fbf,13.0,18
ca94e2adaffb4cd91b02e93018950644,42.0,49
a775c3477c954479e3d359b21aae2cce,29.0,36
01b74ed8f79b950d70d81ada65b11327,23.0,30
7b69fd35fefe7979a4e3dfbe2fd7cede,36.0,43
548918cf043d6d9baa3b51f366ed5b67,27.0,34
62333a289fdaf5e27a9069e22f17ac0a,41.0,48
be0d2d9565628b0f82ee819ffd11e18d,32.0,39
