in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
out,4.06887e-03,1.09992e-03,1.67184e+00,4.51670e-03,1.76551e+00,4.53794e-03,1.77994e+00,4.54117e-03
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
$1,1.01722e-02,2.74979e-03,4.17961e+00,1.12917e-02,4.41376e+00,1.13449e-02,4.44986e+00,1.13529e-02
$2,4.21568e+00,4.21568e+00,1.04433e-01,1.04433e-01,9.50257e-02,9.50257e-02,9.36025e-02,9.36025e-02
