design_name,parts,
m0x880,pPhlF,YFP_cassette,pTac,pTet,RiboJ53,P2,PhlF,ECK120033737,_NONCE_PAD
m0x881,pTac,pTet,RiboJ53,P2,PhlF,ECK120033737,_NONCE_PAD,pPhlF,YFP_cassette
m0x882,pTac,pTet,RiboJ53,P2,PhlF,ECK120033737,pPhlF,YFP_cassette,_NONCE_PAD
