custom/best_energy,env12/episode_return_disc,env60/episode_return_disc,env32/episode_return_disc,env54/episode_return,env74/episode_return,env36/episode_return,env32/episode_return,env70/episode_return_disc,env2/episode_return,env9/episode_return,env14/episode_return_disc,env19/episode_return_disc,env4/episode_return_disc,env48/episode_return,env51/episode_return_disc,env34/episode_return,env50/episode_return_disc,env17/episode_return,env63/episode_return,env22/episode_return_disc,env59/episode_return_disc,env43/episode_return,env15/episode_return,env58/episode_return,env74/episode_return_disc,env57/episode_return,env38/episode_return,env19/episode_return,env1/episode_return,env56/episode_return,env13/episode_return,env26/episode_return,env77/episode_return,env39/episode_return_disc,env48/episode_return_disc,env56/episode_return_disc,env45/episode_return,env76/episode_return,env41/episode_return,env5/episode_return,env67/episode_return_disc,env29/episode_return_disc,env65/episode_return,env62/episode_return,env6/episode_return,env46/episode_return_disc,env8/episode_return_disc,env21/episode_return_disc,env16/episode_return_disc,env30/episode_return_disc,env49/episode_return,env28/episode_return_disc,env67/episode_return,env58/episode_return_disc,env7/episode_return_disc,env23/episode_return,env33/episode_return,env34/episode_return_disc,env3/episode_return,env73/episode_return,env55/episode_return,env50/episode_return,env9/episode_return_disc,env63/episode_return_disc,env72/episode_return,env76/episode_return_disc,env46/episode_return,env39/episode_return,env35/episode_return,env71/episode_return,env21/episode_return,env23/episode_return_disc,env66/episode_return,env15/episode_return_disc,env0/episode_return,env35/episode_return_disc,env24/episode_return,env53/episode_return,env64/episode_return,env7/episode_return,env26/episode_return_disc,env42/episode_return_disc,env51/episode_return,env27/episode_return,env4/episode_return,env31/episode_return,env71/episode_return_disc,env47/episode_return_disc,env41/episode_return_disc,env47/episode_return,env54/episode_return_disc,env78/episode_return,env40/episode_return,env22/episode_return,env68/episode_return,env33/episode_return_disc,env40/episode_return_disc,env73/episode_return_disc,env6/episode_return_disc,env27/episode_return_disc,env14/episode_return,env11/episode_return_disc,env16/episode_return,env53/episode_return_disc,env79/episode_return,env64/episode_return_disc,env30/episode_return,env2/episode_return_disc,env8/episode_return,env25/episode_return,env52/episode_return,env20/episode_return,env37/episode_return,env17/episode_return_disc,env42/episode_return,env77/episode_return_disc,env43/episode_return_disc,env10/episode_return,env78/episode_return_disc,env69/episode_return,env13/episode_return_disc,env79/episode_return_disc,env59/episode_return,env18/episode_return,env20/episode_return_disc,env69/episode_return_disc,env0/episode_return_disc,env62/episode_return_disc,env66/episode_return_disc,env25/episode_return_disc,env49/episode_return_disc,env55/episode_return_disc,env75/episode_return_disc,env10/episode_return_disc,env18/episode_return_disc,env36/episode_return_disc,env29/episode_return,env68/episode_return_disc,env61/episode_return,env37/episode_return_disc,env45/episode_return_disc,env31/episode_return_disc,env60/episode_return,env44/episode_return_disc,env57/episode_return_disc,env38/episode_return_disc,env72/episode_return_disc,env3/episode_return_disc,env65/episode_return_disc,env12/episode_return,env70/episode_return,env24/episode_return_disc,env1/episode_return_disc,env28/episode_return,env44/episode_return,env52/episode_return_disc,env5/episode_return_disc,env11/episode_return,env75/episode_return,env61/episode_return_disc,eval/mean_ep_length,eval/mean_reward,time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/clip_fraction,train/value_loss,train/policy_gradient_loss,train/explained_variance,train/loss,train/entropy_loss,train/clip_range,train/n_updates,train/approx_kl,train/learning_rate
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.135173797607422,3.9718146324157715,2.1244590282440186,4.545454502105713,5.263157844543457,2.6315789222717285,2.3255813121795654,9.135173797607422,14.285714149475098,4.34782600402832,9.135173797607422,3.9718146324157715,18.270347595214844,4.545454502105713,7.612644672393799,2.3255813121795654,11.418967247009277,4.545454502105713,5.0,4.152351379394531,4.152351379394531,16.66666603088379,2.5,4.34782600402832,4.807986259460449,5.263157844543457,4.34782600402832,4.34782600402832,2.3255813121795654,4.34782600402832,10.0,2.5641026496887207,2.3255813121795654,3.3833975791931152,4.152351379394531,3.9718146324157715,2.3255813121795654,7.692307472229004,2.3255813121795654,16.66666603088379,2.1244590282440186,2.1244590282440186,2.702702760696411,2.3255813121795654,4.545454502105713,11.418967247009277,2.1244590282440186,15.225289344787598,4.152351379394531,2.4039931297302246,4.545454502105713,2.3423521518707275,2.3255813121795654,3.9718146324157715,9.135173797607422,16.66666603088379,3.7037036418914795,2.1244590282440186,12.5,3.125,4.34782600402832,12.5,3.9718146324157715,4.567586898803711,16.66666603088379,7.027056694030762,12.5,3.7037036418914795,10.0,2.6315789222717285,16.66666603088379,15.225289344787598,4.34782600402832,2.2837934494018555,16.66666603088379,9.135173797607422,2.3255813121795654,12.5,16.66666603088379,10.0,2.3423521518707275,4.152351379394531,8.333333015441895,2.3809523582458496,20.0,16.66666603088379,2.4039931297302246,4.152351379394531,2.1244590282440186,4.545454502105713,4.152351379394531,16.66666603088379,4.545454502105713,4.545454502105713,12.5,3.3833975791931152,4.152351379394531,2.8547418117523193,4.152351379394531,2.175041437149048,10.0,2.7682344913482666,4.545454502105713,11.418967247009277,10.0,15.225289344787598,2.6315789222717285,13.050248146057129,2.3255813121795654,16.66666603088379,12.5,4.545454502105713,12.5,4.152351379394531,4.545454502105713,2.1244590282440186,15.225289344787598,16.66666603088379,15.225289344787598,4.166666507720947,9.135173797607422,9.135173797607422,4.545454502105713,4.34782600402832,4.152351379394531,3.8063223361968994,15.225289344787598,2.1244590282440186,3.9718146324157715,15.225289344787598,4.152351379394531,3.9718146324157715,11.418967247009277,15.225289344787598,3.9718146324157715,2.4039931297302246,2.3255813121795654,11.418967247009277,2.4390244483947754,11.418967247009277,2.1244590282440186,15.225289344787598,4.34782600402832,3.9718146324157715,4.807986259460449,3.9718146324157715,15.225289344787598,11.418967247009277,2.468965768814087,10.0,10.0,2.1244590282440186,2.1244590282440186,2.5641026496887207,4.34782600402832,11.418967247009277,15.225289344787598,3.0303030014038086,12.5,2.22809100151062,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3.3833975791931152,4.152351379394531,11.418967247009277,2.2727272510528564,10.0,6.25,12.5,4.152351379394531,11.11111068725586,12.5,2.1244590282440186,3.3833975791931152,4.152351379394531,12.5,3.2625620365142822,16.66666603088379,1.9859073162078857,11.11111068725586,2.3255813121795654,2.030038595199585,2.9468302726745605,2.222222328186035,2.17391300201416,4.545454502105713,9.135173797607422,2.040816307067871,3.5714285373687744,3.7037036418914795,2.0833332538604736,4.545454502105713,10.0,7.142857074737549,10.0,2.030038595199585,11.418967247009277,4.152351379394531,16.66666603088379,4.545454502105713,4.34782600402832,9.090909004211426,2.8547418117523193,4.152351379394531,16.66666603088379,7.692307472229004,14.285714149475098,11.418967247009277,18.270347595214844,9.135173797607422,2.7682344913482666,15.225289344787598,2.127659559249878,1.94365394115448,3.125,4.152351379394531,15.225289344787598,4.545454502105713,7.692307472229004,15.225289344787598,3.846153736114502,10.0,3.5714285373687744,2.17391300201416,11.418967247009277,2.1244590282440186,16.66666603088379,4.152351379394531,12.5,2.222222328186035,1.923076868057251,2.3809523582458496,10.0,4.152351379394531,2.2727272510528564,1.9859073162078857,4.545454502105713,1.7567641735076904,3.7037036418914795,4.0,16.66666603088379,16.66666603088379,6.5251240730285645,4.152351379394531,3.5714285373687744,4.545454502105713,4.545454502105713,10.0,2.175041437149048,3.3833975791931152,3.9718146324157715,3.7037036418914795,2.0761756896972656,16.66666603088379,3.7037036418914795,2.222222328186035,10.0,7.027056694030762,3.3833975791931152,9.135173797607422,13.050248146057129,4.152351379394531,2.3255813121795654,3.2625620365142822,3.0303030014038086,3.654069423675537,12.5,15.225289344787598,16.66666603088379,10.150193214416504,20.0,3.7037036418914795,2.0,2.222222328186035,12.5,10.150193214416504,4.545454502105713,9.135173797607422,2.030038595199585,7.692307472229004,15.225289344787598,2.2727272510528564,9.135173797607422,11.418967247009277,3.225806474685669,16.66666603088379,2.030038595199585,2.0761756896972656,4.152351379394531,7.027056694030762,2.0761756896972656,3.3833975791931152,1.94365394115448,3.2625620365142822,4.152351379394531,7.027056694030762,15.225289344787598,5.709483623504639,4.545454502105713,9.135173797607422,16.66666603088379,11.418967247009277,15.225289344787598,9.135173797607422,4.545454502105713,15.225289344787598,1.8643211126327515,3.2625620365142822,15.225289344787598,3.513528347015381,15.225289344787598,3.7037036418914795,4.545454502105713,3.3833975791931152,1.9031611680984497,2.127659559249878,16.66666603088379,1.8270347118377686,8.304702758789062,3.5714285373687744,4.545454502105713,15.225289344787598,10.0,7.557628009999998,1600,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,10.0,3,532,1,7.26112842,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04421875071711838,19.134815835952757,-0.039370582321862455,0.008477330207824707,7.756979465484619,-6.356516122817993,0.2,4,0.011432767,0.0003
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,9.135173797607422,2.175041437149048,4.152351379394531,4.0,20.0,16.66666603088379,4.545454502105713,1.9859073162078857,16.66666603088379,10.0,5.373631477355957,3.150059938430786,9.135173797607422,4.545454502105713,4.152351379394531,3.7037036418914795,2.175041437149048,2.2727272510528564,16.66666603088379,2.6100494861602783,9.135173797607422,20.0,2.5,3.225806474685669,18.270347595214844,2.127659559249878,4.0,3.4482758045196533,2.0833332538604736,12.5,16.66666603088379,2.2727272510528564,2.17391300201416,15.225289344787598,4.152351379394531,11.418967247009277,5.0,4.0,16.66666603088379,5.263157844543457,9.135173797607422,15.225289344787598,2.222222328186035,5.882352828979492,2.040816307067871,2.22809100151062,15.225289344787598,3.045057773590088,9.135173797607422,2.4039931297302246,3.7037036418914795,18.270347595214844,10.0,2.9468302726745605,6.5251240730285645,3.4482758045196533,16.66666603088379,3.3833975791931152,12.5,4.545454502105713,1.8867924213409424,2.3809523582458496,9.135173797607422,15.225289344787598,4.545454502105713,3.654069423675537,2.4390244483947754,16.66666603088379,3.125,16.66666603088379,3.3333332538604736,3.150059938430786,4.545454502105713,2.2837934494018555,10.0,2.8547418117523193,5.0,4.545454502105713,3.3333332538604736,7.142857074737549,2.0761756896972656,7.612644672393799,4.545454502105713,16.66666603088379,10.0,6.25,15.225289344787598,15.225289344787598,15.225289344787598,16.66666603088379,3.654069423675537,2.222222328186035,3.225806474685669,2.857142925262451,4.545454502105713,15.225289344787598,2.9468302726745605,4.152351379394531,1.8643211126327515,15.225289344787598,5.882352828979492,2.030038595199585,10.0,4.152351379394531,4.545454502105713,3.045057773590088,2.6315789222717285,15.225289344787598,16.66666603088379,12.5,2.777777671813965,12.5,2.3255813121795654,2.0761756896972656,8.333333015441895,1.9859073162078857,18.270347595214844,6.666666507720947,2.030038595199585,9.090909004211426,15.225289344787598,4.152351379394531,10.0,4.34782600402832,11.418967247009277,8.304702758789062,9.135173797607422,5.373631477355957,4.152351379394531,11.418967247009277,3.3833975791931152,1.723617672920227,9.135173797607422,6.090115547180176,3.9718146324157715,15.225289344787598,16.66666603088379,4.152351379394531,10.0,2.1244590282440186,4.567586898803711,5.709483623504639,2.3809523582458496,9.135173797607422,1.94365394115448,3.654069423675537,4.152351379394531,11.418967247009277,2.030038595199585,10.0,2.17391300201416,4.567586898803711,1.9031611680984497,20.0,10.0,2.537548303604126,4.807986259460449,2.222222328186035,10.0,9.135173797607422,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
