design_name,parts,
m0x050,pTac,RiboJ53,P3,PhlF,ECK120033737,pQacR,YFP_cassette,pBAD,RiboJ57,E1,BetI,L3S3P11,pPhlF,pBetI,RiboJ60,Q1,QacR,ECK120010818,_NONCE_PAD
m0x051,pTac,RiboJ53,P3,PhlF,ECK120033737,pBAD,RiboJ57,E1,BetI,L3S3P11,pPhlF,pBetI,RiboJ60,Q1,QacR,ECK120010818,_NONCE_PAD,pQacR,YFP_cassette
m0x052,pQacR,YFP_cassette,pTac,RiboJ53,P3,PhlF,ECK120033737,pBAD,RiboJ57,E1,BetI,L3S3P11,pPhlF,pBetI,RiboJ60,Q1,QacR,ECK120010818,_NONCE_PAD
m0x053,pTac,RiboJ53,P3,PhlF,ECK120033737,pBAD,RiboJ57,E1,BetI,L3S3P11,pQacR,YFP_cassette,pPhlF,pBetI,RiboJ60,Q1,QacR,ECK120010818,_NONCE_PAD
m0x054,pTac,RiboJ53,P3,PhlF,ECK120033737,pBAD,RiboJ57,E1,BetI,L3S3P11,pPhlF,pBetI,RiboJ60,Q1,QacR,ECK120010818,pQacR,YFP_cassette,_NONCE_PAD
