$1,2.07782e-01,1.04000e-02,7.94889e-03,9.11391e-03,2.07782e-01,1.04000e-02,7.94889e-03,9.11391e-03
$3,5.27431e-02,2.70473e+00,2.90096e+00,2.92557e+00,5.27431e-02,2.70473e+00,2.90096e+00,2.92557e+00
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
$4,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01
$6,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02
$5,3.24134e+00,6.38576e-02,1.87330e-02,1.19867e-02,3.24134e+00,6.38576e-02,1.87330e-02,1.19867e-02
$7,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
out,8.31127e-02,4.16001e-03,3.17956e-03,3.64556e-03,8.31127e-02,4.16001e-03,3.17956e-03,3.64556e-03
$2,3.74306e-01,1.03006e-01,3.74306e-01,1.03006e-01,3.74306e-01,1.03006e-01,3.74306e-01,1.03006e-01
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
