$3,4.21568e+00,4.21568e+00,1.04433e-01,1.04433e-01,9.50257e-02,9.50257e-02,9.36025e-02,9.36025e-02
$1,4.51718e-02,1.25553e-02,3.47784e+00,5.00062e-02,3.51580e+00,5.02350e-02,3.52137e+00,5.02697e-02
in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
out,2.21834e-02,9.13678e-03,1.40759e+00,3.64580e-02,3.41757e+00,2.03134e+00,1.42517e+00,3.67333e-02
$2,1.02867e-02,1.02867e-02,4.11388e-02,4.11388e-02,5.02812e+00,5.02812e+00,4.15634e-02,4.15634e-02
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
