hash,energy,size
855a7f535ff788e1084271df32e88687,13.0,19
f93df40692f559b318f20785b7de4e9a,24.0,30
bf4ef2fc05a32fdc604152088cc4b2fd,24.0,30
63c91c502046aadbcc66ba7c611e46b2,8.0,14
5b08c529cf778780c0db30b13213f758,11.0,15
14238fabfbf2bd394f61ac38ac31b4eb,23.0,29
23953771c2a42e321c25b83b333f57e3,15.0,19
e6b0ccdf80dde969d3376edc850ef306,17.0,23
0592d5fa1f0312b357c59a5fe6e66bb2,18.0,24
dc34fd1a5d0faaf9c97d2acea2face2f,28.0,34
45b95aa6a4073479f8a2a7b56e2be51d,20.0,26
869261c223dbd1052bb7a9742b92efa5,26.0,32
731026a26dade157278dd73690ed8956,15.0,19
250be89d74cc594bcd85b4e0b5022dd8,22.0,28
7a1120ad420434d13efdf9dab7093577,10.0,16
e34623572fabc40f37f080f6a653325e,22.0,28
3315030c4f6d3880278ba2e6f0294d37,24.0,30
100c8ffec75d71a5d2a40f6f9a61a966,29.0,35
21a147fa8a4f1ad0b584f09db247fec1,30.0,36
0cd6874e523da66158ebebacf29d2c02,29.0,35
fd5acfc776462809f98f99b098eb5355,10.0,14
0d370157cb97c2de85ff8a8a44fb9e4a,10.0,16
93b566a12b49143dd298b6eefc144dae,8.0,14
0580d12f1af4ee2a41a6a0ef315abddc,10.0,16
5a4b9fc4293bb977451fd8316fbc9bc3,25.0,31
be49e5a1641898ffdaca249f6bcfc6a5,15.0,21
60241ab496f35003b07a8459a569fdd1,21.0,27
f9a0dfd4afd68ca3a98851793454d921,10.0,14
800d4da4e20c19b0ff1146e8ec9cf958,15.0,21
40bf4a0ae674359c7cdc63f89e76b704,22.0,26
800a62980fd373778e9a2c76645c1013,29.0,35
617202b97ff1da345235dd1bb119c945,21.0,27
c0e50abf18e3983c39dfe438af3b916a,16.0,20
ff605fd083edaf42ae9e5c2de073f848,27.0,33
8380cde34e27453c84eb2565a8082992,22.0,28
0304d2c8744d49d1e8f181dc5b8831d6,9.0,15
366562f868a28a20fb7a20fc0c8f9694,13.0,17
ac528c163cc9e527308937e9eccd5732,23.0,29
959fa37754b5b722263983eedf249d0e,9.0,15
050e0cdc53cf85bed29dfcc0da168e84,23.0,29
551b00d2f81ddd24618b98f775fedf73,13.0,17
5f06bd85cad31af1698eb65245ce0ee3,20.0,26
241e3f722d3876ed9d84252a7aa008e2,26.0,32
fcc53912d652128b306b64e1216a338a,28.0,34
b1fc5a89d91aec6fa521f811dc9ed7a9,29.0,35
bed39b6c38b8a57018152bd3554c797a,20.0,26
3cbb3798e24f820ec55d3da534bbb1c2,19.0,25
39e58c37f87d0249783e47356523a05d,23.0,29
23c66a175ca16a56c869a740ffd4ba15,20.0,26
41baf1f29294b8e8a89da9db3d43b282,20.0,26
c8a711eedaaf960d001f4194b69d845c,28.0,32
465ec641c488937e46af9056dee11f5a,10.0,14
c51a9e1f6e2722d51c2cd174748238e3,18.0,24
dd619aea3dc2e5b1f764c0b3d3a42b74,20.0,26
0856d9a0b4b3a28ffcb7db5df6c1c60f,16.0,22
9c70131acb29dd328a87c9abd1d70aec,19.0,25
88b94a80eff1481c08fc5e70e257f474,21.0,27
4e696486af986a51fbda600fa63a7ed9,20.0,26
68e8bfcfa6b17a7476c14e8aa09f9d50,27.0,33
082056d6e48a047a4fbf47283a5fd173,28.0,32
f3542b2db614e6f9102fe15d9e610de2,16.0,20
deadd321aa878960e47fb217a04c99e2,20.0,26
d5d74f30dd45864bf1e058a75a6ab350,21.0,25
011e34ccd3c43dda22566129280bb3e1,23.0,27
178dfd66f7db9571c6b69adf423befe5,16.0,22
4b5c5ae0600775360b470f4b903e5d98,10.0,16
0f41203628fdfcd84455e636a0af9907,10.0,14
51d5b8ddfb4a8be034277fb5e04271d1,10.0,16
a30724c28577bb6e47ca31e980c02bac,21.0,25
a181853d4110bb8b3312761976446dcb,22.0,26
7345c9b5a69d26c2defb7d560d3242a6,8.0,14
4fd8ca19acfce5634dfb32711922cd6e,19.0,23
67ed4b8b5404bbf70ecdebd4da4f1970,22.0,26
5cb1ce38c40bacc46f49ab950cf4aa70,19.0,23
13b96c42a69af58614e920d3c8a84245,15.0,19
ad019290e0594c8fcbae18794cb9fc44,22.0,26
cae4bbbc951ec81e471f6bacd89bf1ba,28.0,34
ad2b3ee16ba56d11a538860aae52c3d8,26.0,32
