in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
$3,4.21568e+00,4.21568e+00,9.50257e-02,9.50257e-02,1.04433e-01,1.04433e-01,9.36025e-02,9.36025e-02
$1,3.34472e-02,1.02131e-02,2.69521e+00,3.69100e-02,2.64892e+00,3.67540e-02,2.70210e+00,3.69337e-02
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
out,1.51019e-02,5.80829e-03,1.07919e+00,1.58669e-02,2.91358e+00,1.86872e+00,1.08195e+00,1.58771e-02
$2,4.30765e-03,4.30765e-03,2.75736e-03,2.75736e-03,4.63504e+00,4.63504e+00,2.75907e-03,2.75907e-03
