in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
$3,2.94106e-02,9.53527e-03,2.94106e-02,9.53527e-03,2.64882e+00,3.67537e-02,2.64882e+00,3.67537e-02
$1,2.02461e-03,2.02476e-03,3.60972e-01,4.92808e-01,2.01268e-03,2.02456e-03,2.16891e-03,3.13492e-01
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
out,8.09845e-04,8.09904e-04,1.44389e-01,1.97123e-01,8.05071e-04,8.09823e-04,8.67563e-04,1.25397e-01
$2,6.79287e+00,6.79287e+00,7.16092e-03,7.16092e-03,6.79287e+00,6.79287e+00,7.16092e-03,7.16092e-03
$4,4.52743e+00,4.52743e+00,4.52743e+00,4.52743e+00,1.04452e-01,1.04452e-01,1.04452e-01,1.04452e-01
