$7,0.97,0.97,0.92,0.92,0.97,0.97,0.92,0.92,0.97,0.97,0.92,0.92,0.97,0.97,0.92,0.92
$11,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.95,0.95,0.95,0.99,0.99,0.99,0.99
$9,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
$8,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$4,0.93,0.87,0.93,0.87,0.93,0.93,0.93,0.93,0.92,0.93,0.92,0.93,0.94,0.93,0.94,0.93
$1,0.94,0.95,0.94,1.00,0.94,0.95,0.94,1.00,0.94,0.95,0.94,1.00,0.94,0.95,0.94,1.00
$3,0.95,0.95,0.94,0.94,0.95,0.95,0.94,0.94,0.95,0.95,0.94,0.94,0.95,0.95,0.94,0.94
$5,0.90,0.90,0.92,0.92,0.90,0.90,0.92,0.92,0.90,0.90,0.92,0.92,0.90,0.90,0.92,0.92
$6,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
$2,0.94,0.96,0.99,0.97,0.94,0.96,0.99,0.97,0.94,0.96,0.99,0.97,0.94,0.96,0.99,0.97
$10,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92,0.97,0.97,0.97,0.97,0.92,0.92,0.92,0.92
