$1,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00,1.47011e+00
in2,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00,2.20000e-03,5.05430e+00
in4,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00
$6,3.77765e+00,3.77765e+00,1.90806e-01,1.90806e-01,3.77765e+00,3.77765e+00,1.90806e-01,1.90806e-01,3.77765e+00,3.77765e+00,1.90806e-01,1.90806e-01,3.77765e+00,3.77765e+00,1.90806e-01,1.90806e-01
$7,3.61528e-01,3.61528e-01,3.61528e-01,3.61528e-01,3.61528e-01,3.61528e-01,3.61528e-01,3.61528e-01,2.13301e+00,2.13301e+00,2.13301e+00,2.13301e+00,2.13301e+00,2.13301e+00,2.13301e+00,2.13301e+00
$11,8.06035e-01,8.06035e-01,8.06035e-01,8.06035e-01,8.06035e-01,8.06035e-01,8.06035e-01,8.06035e-01,9.78743e-03,9.78743e-03,9.78743e-03,9.78743e-03,9.78743e-03,9.78743e-03,9.78743e-03,9.78743e-03
$9,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02,6.48574e+00,8.48487e-02
$2,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01,1.83000e-01
$4,8.86446e-02,1.92152e-02,8.92026e-02,8.27394e-02,8.86446e-02,1.92152e-02,8.92026e-02,8.27394e-02,1.78241e-02,7.74151e-03,1.78748e-02,1.72716e-02,1.78241e-02,7.74151e-03,1.78748e-02,1.72716e-02
$5,7.10520e-01,7.10520e-01,7.10520e-01,7.10520e-01,1.17830e-01,1.17830e-01,1.17830e-01,1.17830e-01,9.64832e-02,9.64832e-02,9.64832e-02,9.64832e-02,9.50052e-02,9.50052e-02,9.50052e-02,9.50052e-02
out,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01,5.88046e-01
$8,1.07538e+00,2.72880e+00,1.07084e+00,1.12617e+00,1.07538e+00,2.72880e+00,1.07084e+00,1.12617e+00,1.07538e+00,2.72880e+00,1.07084e+00,1.12617e+00,1.07538e+00,2.72880e+00,1.07084e+00,1.12617e+00
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
$3,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02
$10,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02,5.70000e-02
in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
