$2,3.06474e+00,3.06474e+00,2.43481e-02,2.43481e-02,3.06474e+00,3.06474e+00,2.43481e-02,2.43481e-02
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
$4,2.18806e+00,2.18806e+00,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,9.66102e-02,9.66102e-02
$3,2.84248e-02,9.43777e-03,2.84248e-02,9.43777e-03,2.22392e+00,3.04523e-02,2.22392e+00,3.04523e-02
in1,2.78000e-02,2.78000e-02,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,3.92390e+00,3.92390e+00
in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
$1,8.61505e-03,8.73437e-03,6.00291e+00,6.31037e+00,2.59757e-03,8.60245e-03,1.75632e-02,5.96242e+00
out,3.44602e-03,3.49375e-03,2.40116e+00,2.52415e+00,1.03903e-03,3.44098e-03,7.02530e-03,2.38497e+00
