out,3.51349e-03,8.05113e-01,1.75109e+00,2.55269e+00,2.17205e+00,2.97365e+00,2.60479e+00,3.40639e+00
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
$1,4.58373e-03,4.58373e-03,4.37352e+00,4.37352e+00,5.42592e+00,5.42592e+00,6.50779e+00,6.50779e+00
$2,6.31155e+00,6.31155e+00,1.24420e-01,1.24420e-01,8.41443e-02,8.41443e-02,3.52955e-02,3.52955e-02
