$1,3.65914e-02,2.59539e-02,2.41275e+00,2.62180e-02,3.65914e-02,2.59539e-02,2.41275e+00,2.62180e-02
$3,3.03358e+00,3.85050e-02,2.41064e-02,8.53752e-03,3.03358e+00,3.85050e-02,2.41064e-02,8.53752e-03
$4,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02,1.00000e-02
$6,1.33911e-01,1.33911e-01,9.43101e-02,9.43101e-02,1.98269e+00,1.98269e+00,9.49995e-02,9.49995e-02
in3,4.20000e-03,4.20000e-03,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,2.00820e+00,2.00820e+00
$5,8.21327e-01,8.21327e-01,8.21327e-01,8.21327e-01,2.95237e-02,2.95237e-02,2.95237e-02,2.95237e-02
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in2,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00
out,2.11541e-02,1.26234e+00,2.31722e+00,1.45323e+00,2.11541e-02,1.26234e+00,2.31722e+00,1.45323e+00
$2,1.62937e-02,3.12989e+00,3.38030e+00,3.60685e+00,1.62937e-02,3.12989e+00,3.38030e+00,3.60685e+00
