value_decimal,initial_num_gates,lowest_gates,delta_gates
600,14,12,2
601,19,11,8
602,11,7,4
603,12,9,3
604,13,11,2
605,10,8,2
606,12,9,3
607,5,5,0
608,16,11,5
609,15,13,2
610,10,7,3
611,18,10,8
612,15,12,3
613,23,14,9
614,12,7,5
615,12,9,3
616,15,14,1
617,16,13,3
618,14,15,-1
619,15,17,-2
620,17,11,6
621,16,15,1
622,13,8,5
623,12,12,0
624,10,7,3
625,17,10,7
626,8,6,2
627,7,6,1
628,13,11,2
629,10,8,2
630,12,9,3
631,5,5,0
632,17,11,6
633,16,15,1
634,13,8,5
635,12,12,0
636,17,14,3
637,13,13,0
638,14,10,4
639,10,7,3
640,12,8,4
641,19,12,7
642,8,7,1
643,15,11,4
644,18,11,7
645,11,11,0
646,13,10,3
647,11,8,3
648,8,7,1
649,14,11,3
650,7,6,1
651,12,8,4
652,15,8,7
653,11,9,2
654,13,7,6
655,6,5,1
656,18,11,7
657,14,11,3
658,13,10,3
659,11,8,3
660,22,16,6
661,15,12,3
662,13,11,2
663,16,12,4
664,14,11,3
665,14,10,4
666,13,12,1
667,13,10,3
668,15,12,3
669,17,12,5
670,16,13,3
671,8,8,0
672,10,7,3
673,14,11,3
674,7,6,1
675,11,8,3
676,14,11,3
677,14,10,4
678,13,12,1
679,15,10,5
680,10,8,2
681,15,13,2
682,5,5,0
683,10,10,0
684,14,12,2
685,15,12,3
686,9,7,2
687,11,7,4
688,15,8,7
689,11,8,3
690,13,7,6
691,6,5,1
692,15,12,3
693,17,12,5
694,16,13,3
695,8,8,0
696,14,12,2
697,15,12,3
698,9,7,2
699,11,7,4
700,16,12,4
701,17,14,3
702,9,9,0
703,11,8,3
704,13,8,5
705,17,13,4
706,11,7,4
707,10,8,2
708,10,8,2
709,13,10,3
710,8,9,-1
711,12,9,3
712,11,8,3
713,20,12,8
714,9,6,3
715,14,11,3
716,8,7,1
717,11,9,2
718,9,6,3
719,6,6,0
720,10,8,2
721,13,11,2
722,11,9,2
723,12,9,3
724,17,12,5
725,13,12,1
726,13,12,1
727,11,8,3
728,15,13,2
729,18,13,5
730,14,8,6
731,14,10,4
732,15,14,1
733,8,8,0
734,13,13,0
735,9,6,3
736,13,9,4
737,20,12,8
738,9,6,3
739,14,11,3
740,15,13,2
741,18,15,3
742,14,8,6
743,13,12,1
744,16,11,5
745,16,13,3
746,8,6,2
747,14,11,3
748,13,11,2
749,16,17,-1
750,8,6,2
751,14,11,3
752,8,7,1
753,11,9,2
754,9,6,3
755,6,6,0
756,15,10,5
757,8,8,0
758,13,12,1
759,9,6,3
760,13,11,2
761,16,13,3
762,8,6,2
763,14,9,5
764,8,8,0
765,11,10,1
766,9,8,1
767,7,5,2
769,7,7,0
770,8,6,2
772,9,8,1
773,8,7,1
774,11,9,2
775,6,6,0
776,8,7,1
777,10,8,2
778,7,6,1
779,5,5,0
781,10,8,2
782,11,9,2
784,11,8,3
785,8,7,1
786,11,9,2
787,6,6,0
788,12,11,1
789,13,9,4
790,15,14,1
791,9,9,0
792,14,13,1
793,13,11,2
794,13,11,2
795,8,7,1
796,14,11,3
797,13,10,3
798,15,14,1
799,11,8,3
800,10,7,3
801,10,8,2
802,7,6,1
803,5,5,0
804,14,13,1
805,13,11,2
806,13,11,2
807,8,6,2
808,13,10,3
809,14,11,3
810,12,9,3
811,8,8,0
812,13,11,2
813,14,13,1
814,12,11,1
815,10,7,3
817,10,8,2
818,11,9,2
820,14,11,3
821,13,10,3
822,15,12,3
823,11,8,3
824,13,11,2
825,14,13,1
826,12,11,1
827,10,7,3
829,13,13,0
830,14,13,1
