$1,4.41896e-02,4.41896e-02,1.60630e-01,1.60630e-01,1.45279e-01,1.45279e-01,3.01322e+00,3.01322e+00,1.59740e-01,1.59740e-01,3.54576e+00,3.54576e+00,1.60314e-01,1.60314e-01,3.56120e+00,3.56120e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
in4,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00,6.94000e-02,6.94000e-02,6.94000e-02,6.94000e-02,1.15440e+00,1.15440e+00,1.15440e+00,1.15440e+00
out,3.29587e-02,2.18371e-02,2.05873e+00,8.08301e-02,7.33947e-02,6.22731e-02,3.19976e+00,1.22186e+00,7.91787e-02,6.80572e-02,3.41278e+00,1.43488e+00,7.94083e-02,6.82867e-02,3.41896e+00,1.44106e+00
$2,3.82072e-02,1.04032e-02,4.98619e+00,4.14448e-02,3.82072e-02,1.04032e-02,4.98619e+00,4.14448e-02,3.82072e-02,1.04032e-02,4.98619e+00,4.14448e-02,3.82072e-02,1.04032e-02,4.98619e+00,4.14448e-02
$3,2.10340e+00,2.10340e+00,2.10340e+00,2.10340e+00,1.31455e-01,1.31455e-01,1.31455e-01,1.31455e-01,1.84151e-02,1.84151e-02,1.84151e-02,1.84151e-02,1.42433e-02,1.42433e-02,1.42433e-02,1.42433e-02
$4,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02,2.18806e+00,2.18806e+00,9.66102e-02,9.66102e-02
