hash,energy,size
82a3eda93f99b0df7cf365ed8737b24d,17.0,23
191962011a57dc39d29c9071cb1a0ed3,9.0,13
5dc0758e34ebd4eba894768b93944885,14.0,18
6a0ff6c721fdf97f4665828cd7b4f43f,14.0,20
ae642ce5264cffa620fca21aec1052bf,14.0,20
75e3bc2c3f1d485322af533b47e76b28,11.0,15
efc60319efc296b52c3e6ff60dc55c66,16.0,20
4fc5bde5775c0c598f52d8efa0c0b33c,18.0,24
dbb5bceaed562186f76d339af26e3308,23.0,29
80c76d6c4fabe095696f057893a36dc0,18.0,24
83708c0fc5cee3bdb524aa7813a2a5f1,10.0,14
2da3c5dde0fb43624e2dd42dfc3ee519,19.0,25
0d7e3c801ee51e7e4bc598ba17ca9b17,16.0,22
bd553aade692c42e1c467a30daec374d,14.0,18
37267601a1218eb2a6267018b95e5560,25.0,31
cc18e4491c0fe3a6a19ad7ce6abb8afc,13.0,19
bc431f8ffa3d6994ec2c7c7bcfa499b9,14.0,20
cb8adbaca0af37933f6c14b7ab0fe7e3,15.0,21
328da966476c92bd72f3ad744f1e1fb3,10.0,16
0914f96419c1bcbd487b09e79c47178a,25.0,29
dc28dea7c0f80e9a0007cdec7f3e161a,25.0,31
cf6fb9cdc52a39681bc4be8f613882e2,9.0,15
0858befd50e7d1d226fa4b5a82dfc50d,17.0,23
2dd92b749ddff037aa5039a348369ad2,9.0,13
8ca915bec0911ddefd32205611889a63,13.0,19
7794bc4c6e62a4286a6d93f1c87d1c6e,19.0,23
fd36de10bc48f2d62e940270dcab1b52,12.0,18
95761b145261faea5bc6a6fbc6836347,16.0,20
424cdf739657878f3cd49a48f56af44d,20.0,26
f9b4f886eae39581196ce572be07dbc7,19.0,25
fe328f0e92557073056c9ed62ff63edc,10.0,14
9f08b437bcd1469a0ee9062c12bea90d,17.0,23
a5f656de777d68bf5f4d775264604a6d,8.0,16
56d47127093927df805024c52795ea51,17.0,23
efd9a22b1910296b79ba6a12cb7b8bed,18.0,24
a718d4d8ad2199238b36d39e7cb9e53c,12.0,16
5a27c94e93be48c6a9de2975cee9366b,17.0,23
a143f2c6367c8a2302d3b6bbd87bec67,9.0,13
bed6c99a678eed3ba3873c1d43ce8427,11.0,15
1626b05a80b21fdcaa0b1548270960ac,14.0,20
d1981c9a0c41f0fe0cdfdd5daa5f968f,16.0,22
bffb495f991e37d546a759f23ce964bb,5.0,11
67feddb6da9fcf64793600ef1924024b,18.0,24
8280b2df92c25b93f16eb1d8deff53b2,10.0,16
4ef09949fba1ef56a310f790769343f0,20.0,26
261bc1475cab30a8c18072c30ed97fe0,13.0,19
d79c895dc59febfcce92dbeb56601772,16.0,22
9d58c9cf06f4db3597152275ef827e53,16.0,22
9443677870c183104d7dbbb39c7c7ed4,18.0,24
690c41f757e0f546a66ea5dcabee7efb,14.0,20
c499cf687e21af6678c1aa8cffa12407,13.0,19
51a1c077f3e7927b48b9eec2d4e4eceb,10.0,16
d49225d8007c4afe645d22185c89f08e,14.0,20
cb71e3e5b32668025c7a782e8c95a6bb,7.0,11
0d6216b8f0c5ea7d345c0b02b0221b64,24.0,30
77bd9d55f09bcbb6cfe3997538b73487,19.0,25
fe8bcc784a01c310d657fd1ab223f1c9,10.0,14
10d1833e378d8ac14a97321b52c9d43e,11.0,15
