$2,3.03764e+00,3.03764e+00,3.85441e-02,3.85441e-02
in3,4.20000e-03,2.00820e+00,4.20000e-03,2.00820e+00
$1,1.98341e-02,7.18506e-03,6.38159e+00,4.38266e-02
in1,2.78000e-02,2.78000e-02,3.92390e+00,3.92390e+00
out,7.93364e-03,2.87402e-03,2.55264e+00,1.75306e-02
