idx,key,ML_energy,best_bank_energy,delta
0,"(3, 82)",6,6,0
1,"(3, 82)",6,6,0
2,"(3, 82)",6,6,0
3,"(3, 82)",6,6,0
4,"(3, 82)",6,6,0
5,"(3, 82)",6,6,0
6,"(3, 82)",6,6,0
