Step,custom/best_energy,wall_time_s
0,21.0,0.006430169101804495
80,5.0,1.3004050571471453
160,5.0,1.9760047781746835
240,5.0,2.5557961971499026
320,5.0,3.2148793342057616
400,5.0,3.7752896721940488
480,5.0,4.236157344188541
560,5.0,4.591756437206641
640,5.0,5.011056319111958
720,5.0,5.369864308042452
800,5.0,5.742121504154056
880,5.0,6.732866631122306
960,5.0,7.264656474115327
1040,5.0,7.7387546841055155
1120,5.0,8.149820944061503
1200,5.0,8.506596317049116
1280,5.0,8.938286032062024
1360,5.0,9.32747872499749
1440,5.0,9.740322742145509
1520,5.0,10.101053941063583
1600,5.0,10.474832291016355
1680,5.0,11.366494223009795
1760,5.0,12.131859055021778
1840,5.0,12.646636050194502
1920,5.0,13.121858070138842
2000,5.0,13.602159562055022
2080,5.0,13.963644753210247
2160,5.0,14.379162915050983
2240,5.0,14.797358995070681
2320,5.0,15.154764695093036
2400,5.0,15.52900739503093
2480,5.0,16.51597922714427
2560,5.0,17.097795124165714
2640,5.0,17.641687385039404
2720,5.0,18.058518659090623
2800,5.0,18.47466933913529
2880,5.0,18.839360190089792
2960,5.0,19.2628446391318
3040,5.0,19.623895629076287
3120,5.0,19.974663538159803
3200,5.0,20.343319330131635
3280,5.0,21.396268047159538
3360,5.0,22.053634808165953
3440,5.0,22.61153756501153
3520,5.0,23.12474502902478
3600,5.0,23.594120868016034
3680,5.0,24.047109980136156
3760,5.0,24.402981646126136
3840,5.0,24.815927459159866
3920,5.0,25.173296825028956
4000,5.0,25.543957461137325
4080,5.0,26.57083195517771
4160,5.0,27.22474470315501
4240,5.0,27.682417684001848
4320,5.0,28.127096681157127
4400,5.0,28.504742111079395
4480,5.0,28.864771981025115
4560,5.0,29.277093184180558
4640,5.0,29.68804039619863
4720,5.0,30.040225693024695
4800,5.0,30.40699700312689
4880,5.0,31.293021941091865
4960,5.0,31.936560386093333
5040,5.0,32.42611411004327
5120,5.0,32.90756816207431
5200,5.0,33.32877872721292
5280,5.0,33.737246287986636
5360,5.0,34.097017641179264
5440,5.0,34.46283838804811
5520,5.0,34.823200426995754
5600,5.0,35.19136396818794
5680,5.0,36.13086026115343
5760,5.0,36.79819130105898
5840,5.0,37.331566530046985
5920,5.0,37.85479111899622
6000,5.0,38.215367012191564
6080,5.0,38.62859232001938
6160,5.0,39.063975198194385
6240,5.0,39.41482946416363
6320,5.0,39.82934593013488
6400,5.0,40.203767110127956
6480,5.0,41.29172104410827
6560,5.0,41.88075063517317
6640,5.0,42.45234741107561
6720,5.0,42.86380277015269
6800,5.0,43.26683322805911
6880,5.0,43.6843800120987
6960,5.0,44.03709911904298
7040,5.0,44.399266466032714
7120,5.0,44.748424475081265
7200,5.0,45.11856439802796
7280,5.0,46.042199878022075
7360,5.0,46.77553537115455
7440,5.0,47.2737628701143
7520,5.0,47.711678225081414
7600,5.0,48.06577944220044
7680,5.0,48.41986661008559
7760,5.0,48.7707046251744
7840,5.0,49.175630170153454
7920,5.0,49.5300962170586
