out,1.88127e+00,2.18716e+00,1.88396e+00,2.07121e+00,2.47176e+00,2.20752e+00,1.90376e+00,2.20181e+00
$7,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02,7.40000e-02
$2,3.59319e+00,5.07521e-02,3.59319e+00,5.07521e-02,3.59319e+00,5.07521e-02,3.59319e+00,5.07521e-02
$3,9.68921e-02,9.68921e-02,1.19392e-01,1.19392e-01,9.41280e-02,9.41280e-02,9.41330e-02,9.41330e-02
$5,4.12126e-02,4.12126e-02,5.76978e-02,5.76978e-02,3.62866e-01,3.62866e-01,5.95920e-02,5.95920e-02
in3,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00,4.20000e-03,4.20000e-03,2.00820e+00,2.00820e+00
$4,7.52981e-01,9.61862e-03,7.26468e-01,9.55239e-03,3.04299e-01,8.44620e-03,7.23306e-01,9.54483e-03
$6,3.77716e+00,3.77716e+00,1.12965e+00,1.12965e+00,1.08125e+00,1.08125e+00,1.07378e+00,1.07378e+00
in1,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00,2.78000e-02,3.92390e+00
in2,2.20000e-03,2.20000e-03,2.20000e-03,2.20000e-03,5.05430e+00,5.05430e+00,5.05430e+00,5.05430e+00
$1,1.10999e+00,5.41715e+00,1.11671e+00,5.12728e+00,2.58620e+00,5.46804e+00,1.16622e+00,5.45378e+00
