from_partname,type,to_partname,arrowhead_length,linestyle,linewidth,color
BM3R1,Repression,pBM3R1,3,-,,0.93;0.18;0.17
AmeR,Repression,pAmeR,3,-,,0.44;0.80;0.88
LitR,Repression,pLitR,3,-,,0.61;0.33;0.63
PsrA,Repression,pPsrA,3,-,,0.76;0.29;0.61
QacR,Repression,pQacR,3,-,,0.40;0.74;0.27
PhlF,Repression,pPhlF,3,-,,0.98;0.64;0.15
LmrA,Repression,pLmrA,3,-,,0.94;0.30;0.14
AmtR,Repression,pAmtR,3,-,,0.23;0.66;0.88
SrpR,Repression,pSrpR,3,-,,0.00;0.41;0.22
