design_name,parts,
m0x1CBF0,pPhlF,YFP_cassette,pBM3R1,pLmrA,RiboJ53,P1,PhlF,ECK120033737,pQacR,pTet,RiboJ10,S4,SrpR,ECK120029600,pSrpR,pAmeR,SarJ,B3,BM3R1,L3S2P11,pSrpR,pPsrA,RiboJ54,F1,AmeR,L3S3P31,pTet,PlmJ,L1,LitR,L3S2P24,pBetI,RiboJ60,Q2,QacR,ECK120010818,pBAD,pAmtR,ScmJ,R1,PsrA,ECK120015440,pTac,pAmeR,RiboJ64,N1,LmrA,ECK120010876,pTac,pLitR,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x1CBF1,pBM3R1,pLmrA,RiboJ53,P1,PhlF,ECK120033737,pQacR,pTet,RiboJ10,S4,SrpR,ECK120029600,pSrpR,pAmeR,SarJ,B3,BM3R1,L3S2P11,pPhlF,YFP_cassette,pSrpR,pPsrA,RiboJ54,F1,AmeR,L3S3P31,pTet,PlmJ,L1,LitR,L3S2P24,pBetI,RiboJ60,Q2,QacR,ECK120010818,pBAD,pAmtR,ScmJ,R1,PsrA,ECK120015440,pTac,pAmeR,RiboJ64,N1,LmrA,ECK120010876,pTac,pLitR,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x1CBF2,pBM3R1,pLmrA,RiboJ53,P1,PhlF,ECK120033737,pQacR,pTet,RiboJ10,S4,SrpR,ECK120029600,pSrpR,pAmeR,SarJ,B3,BM3R1,L3S2P11,pSrpR,pPsrA,RiboJ54,F1,AmeR,L3S3P31,pPhlF,YFP_cassette,pTet,PlmJ,L1,LitR,L3S2P24,pBetI,RiboJ60,Q2,QacR,ECK120010818,pBAD,pAmtR,ScmJ,R1,PsrA,ECK120015440,pTac,pAmeR,RiboJ64,N1,LmrA,ECK120010876,pTac,pLitR,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x1CBF3,pBM3R1,pLmrA,RiboJ53,P1,PhlF,ECK120033737,pPhlF,YFP_cassette,pQacR,pTet,RiboJ10,S4,SrpR,ECK120029600,pSrpR,pAmeR,SarJ,B3,BM3R1,L3S2P11,pSrpR,pPsrA,RiboJ54,F1,AmeR,L3S3P31,pTet,PlmJ,L1,LitR,L3S2P24,pBetI,RiboJ60,Q2,QacR,ECK120010818,pBAD,pAmtR,ScmJ,R1,PsrA,ECK120015440,pTac,pAmeR,RiboJ64,N1,LmrA,ECK120010876,pTac,pLitR,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
m0x1CBF4,pBM3R1,pLmrA,RiboJ53,P1,PhlF,ECK120033737,pQacR,pTet,RiboJ10,S4,SrpR,ECK120029600,pPhlF,YFP_cassette,pSrpR,pAmeR,SarJ,B3,BM3R1,L3S2P11,pSrpR,pPsrA,RiboJ54,F1,AmeR,L3S3P31,pTet,PlmJ,L1,LitR,L3S2P24,pBetI,RiboJ60,Q2,QacR,ECK120010818,pBAD,pAmtR,ScmJ,R1,PsrA,ECK120015440,pTac,pAmeR,RiboJ64,N1,LmrA,ECK120010876,pTac,pLitR,BydvJ,A1,AmtR,L3S2P55,_NONCE_PAD
